 Pioneer, 170 Fourth Ave, Louth St," St Catharines, ON L2R 6P9",Phone:  905-682-1482,77.2,86.2,93.7,90.6,2016-01-26 12:50
 Pioneer, 383 Ontario St, Scott St W," St Catharines, ON L2R 5L3",Phone:  905-684-4955,77.2,85.6,93.1,89.6,2016-01-26 12:50
 Esso, 408 Ontario St , Hiscott St," St Catharines, ON L2R 5L9",Phone:  905-682-6273,77.2,89.9,95.9,90.9,2016-01-26 12:50
 Esso, 278 Lake St, Scott St," St Catharines, ON L2N 4H1",Phone:  905-937-7090,77.5,88.9,94.9,---,2016-01-26 12:50
 Pioneer, 120 Hartzel Rd, Parkwood Dr," St Catharines, ON L2P 1N5",Phone:  905-685 3000,77.2,85.9,93.1,90.6,2016-01-26 12:50
 Shell, 389 Ontario St, Hiscott St," St Catharines, ON L2R 5L3",Phone:  905-688-2562,78.9,88.9,99.9,---,2016-01-26 12:50
 7-Eleven, 102 Hartzel Rd, Burness Dr," St Catharines, ON L2P 1N4",Phone:  905-682-4994,77.5,85.8,92.8,---,2016-01-26 12:50
 Esso, 236 Glendale Ave, Tremont Dr," St Catharines, ON L2T 2L2",Phone:  905-682-8698,77.2,88.9,94.9,---,2016-01-26 12:50
 7-Eleven, 316 Lake St, Arran Dr," St Catharines, ON L2N 4H4 ",Phone:  905-934-5885,78.1,86.1,93.1,---,2016-01-26 12:50
 Esso, 142 Lakeshore Rd, Geneva St," St Catharines, ON L2N 2T5",Phone:  905-646-4558,77.2,---,---,---,2016-01-26 12:50
 Petro-Canada, 533 Lake St, Linwell Rd," St Catharines, ON L2N 4H6",Phone:  (905) 937-7719,77.5,---,---,89.9,2016-01-26 12:50
 Petro-Canada, 330 Ontario St, Manchester Ave," St Catharines, ON L2R 5L8",Phone:  905-687-8555,78.4,89.9,95.9,88.9,2016-01-26 12:50
 Canadian Tire, 5 Burleigh Hill Dr, Glendale Ave," St Catharines, ON L2T 2L5",Phone:  905-227-7861,81.9,89.9,94.9,91.8,2016-01-26 12:50
 Canadian Tire, 274 Fourth Ave, Vansickle Rd," St Catharines, ON L2S 0B6",Phone:  905-988-9831,81.9,89.9,94.9,90.6,2016-01-26 12:50
 S & W Service Centre, 121 Lakeport Rd, Lakeshore Rd," St Catharines, ON L2N 4R2",Phone:  905-935-9971,81.9,81.9,96.9,97.2,2016-01-26 12:50
 Canadian Tire, 380 Scott St, Vine St," St Catharines, ON L2M 2W4",Phone:  905-934-6142,79.9,---,---,---,2016-01-26 12:50
 Petro-Canada, 198 Glenridge Ave, Riverview Blvd," St Catharines, ON L2T 3J8",Phone:  905-684-3343,82.9,93.9,99.9,94.9,2016-01-26 12:50
 Petro-Canada, 195 Niagara St, Vine St," St Catharines, ON L2M 4V3 ",Phone:  905-937-1773,79.9,90.9,96.9,---,2016-01-26 12:50
 Shell, 333 Geneva St , Ted St," St Catharines, ON L2N 2G3",Phone:  905-935-7117,79.9,92.7,104.5,96.9,2016-01-26 12:50
 Petro-Canada, 437 Niagara St, Scott St," St Catharines, ON L2M 4W4",Phone:  (905) 935-6643,82.9,93.9,99.9,---,2016-01-26 12:50
 Gales, 143 Welland Ave, Francis St," St Catharines, ON L2R 2N5",Phone:  905-682-6311,83.8,---,---,90.9,2016-01-26 12:50
 Gales, 270 Ontario St, Pleasant Ave," St Catharines, ON L2R 5L5",Phone:  905-684-3424,83.8,---,---,---,2016-01-26 12:50
 Gales, 235 St Paul St W, Louth St," St Catharines, ON L2S 4A6",Phone:  905-685-4032,83.8,90.4,102.6,90.9,2016-01-26 12:50
 Gales, 261 Martindale Rd, Hanover Dr," St Catharines, ON L2W 1A2",Phone:  905-682-6084,83.8,90.4,102.6,90.9,2016-01-26 12:50
 Econo, 119 Queenston St, Tasker St," St Catharines, ON L2R 2Z5",Phone:  905-228-2123,83.9,---,---,---,2016-01-26 12:50
 Petro-Canada, 179 Welland Ave, Geneva St," St Catharines, ON L2R 2P1",Phone:  905-704-0852,84.5,94.5,100.5,---,2016-01-26 12:50
 Esso, 448 Welland Ave, Grantham Ave," St Catharines, ON L2M 5V3",Phone:  905-684-0090,84.9,93.9,98.9,94.4,2016-01-26 12:50
 Petro-Canada, 270 Bunting Rd , Welland Ave," St Catharines, ON L2M 3Y1 ",Phone:  905-688-4142 ,84.9,96.9,105.9,89.9,2016-01-26 12:50
 Canadian Tire, 459 Welland Ave, Neilson Ave," St Catharines, ON L2M 6P3",Phone:  905-641-1766,84.9,93.5,98.5,91.4,2016-01-26 12:50
 Shell,  579 Carlton St, Bunting Rd," St Catharines, ON L2M 4Y1 ",Phone:  905-646-5044,84.5,95.9,105.9,91.9,2016-01-26 12:50
 Delta, 292 Geneva St, Grote St," St Catharines, ON L2N 2E8",Phone:  905-646-7211,85.9,---,119.9,---,2016-01-26 12:50
 XTR, 1393 4th Ave Louth, 3rd St Louth," St Catharines, ON L2R 6P9",Phone:  905-684-4760,88.9,---,---,---,2016-01-26 12:50
 Avondale Food Stores, 431 Welland Ave, Grantham Ave," St Catharines, ON L2M 5V2",Phone:  905-685-4979,89.9,124.9,124.9,100.3,2016-01-26 12:50
