City Name,"Latitude (North + , degrees)","Longitude (West - , degrees)",Mean Temperature (°C)
CHEMAINUS,48.935,-123.742,12.8
LAKE COWICHAN,48.829,-124.052,11.9
DUNCAN KELVIN CREEK,48.735,-123.728,12
ESQUIMALT HARBOUR,48.432,-123.439,12.5
GALIANO NORTH,48.985,-123.573,11.5
MALAHAT,48.575,-123.53,11.9
NORTH COWICHAN,48.824,-123.719,12.3
NORTH PENDER ISLAND,48.764,-123.287,12.9
RACE ROCKS,48.298,-123.531,12.9
SAANICHTON CDA,48.622,-123.419,12.3
SATURNA CAPMON CS,48.775,-123.128,12.3
SATURNA ISLAND CS,48.784,-123.045,12.7
SHAWNIGAN LAKE,48.647,-123.626,12
SHERINGHAM POINT,48.377,-123.921,12.4
VICTORIA UNIVERSITY CS,48.457,-123.305,12.2
VICTORIA GONZALES CS,48.413,-123.325,12.8
VICTORIA HIGHLANDS NORTH,48.538,-123.501,12
VICTORIA INTL A,48.647,-123.426,11.9
WILLIAM HEAD,48.34,-123.539,11.9
BALLENAS ISLAND,49.35,-124.16,12.4
CAMPBELL RIVER A,49.952,-125.273,10.1
CAPE MUDGE,49.998,-125.195,11.8
CHATHAM POINT,50.333,-125.446,11.4
CHROME ISLAND,49.472,-124.683,11.6
COMOX A,49.717,-124.9,11.4
CORTES ISLAND TIBER BAY,50.071,-124.949,11.5
COURTENAY GRANTHAM,49.763,-124.999,11.7
COURTENAY PUNTLEDGE,49.686,-125.033,10.9
ENTRANCE ISLAND,49.209,-123.811,12.5
FANNY ISLAND,50.454,-125.993,11.7
HERIOT BAY SE,50.099,-125.203,11.5
NANAIMO A,49.054,-123.87,12
PORT HARDY A,50.681,-127.367,10.3
QUALICUM BEACH AIRPORT,49.337,-124.394,11.3
QUALICUM R FISH RESEARCH,49.394,-124.617,11.4
QUINSAM RIVER HATCHERY,50.016,-125.304,11
SISTERS ISLAND,49.487,-124.435,12.9
ENTRANCE ISLAND,49.209,-123.809,12.1
CAPE BEALE LIGHT,48.786,-125.216,13.3
ESTEVAN POINT,49.383,-126.543,12.6
ESTEVAN POINT CS,49.383,-126.543,12.3
GOLD RIVER TOWNSITE,49.779,-126.055,12.6
LENNARD ISLAND,49.111,-125.923,12.4
NOOTKA LIGHTSTATION,49.6,-126.617,13.2
PACHENA POINT,48.723,-125.097,12.5
PORT ALBERNI COX LAKE,49.202,-124.752,11.8
PORT ALICE,50.386,-127.455,13
QUATSINO,50.534,-127.653,11.6
QUATSINO LIGHTSTATION,50.441,-128.033,13.3
PORT ALBERNI (AUT),49.317,-124.927,11.9
SARTINE ISLAND (AUT),50.821,-128.908,12.2
SOLANDER ISLAND (AUT),50.112,-127.94,12.8
TAHSIS VILLAGE NORTH,49.932,-126.654,12.2
TOFINO A,49.082,-125.773,12.3
UCLUELET KENNEDY CAMP,48.945,-125.527,12.7
ZEBALLOS MURAUDE CREEK,50.053,-126.779,12.6
GIBSONS GOWER POINT,49.386,-123.541,12.8
MERRY ISLAND LIGHTSTATION,49.468,-123.913,12.8
HOWE SOUND - PAM ROCKS,49.488,-123.299,13.4
PORT MELLON,49.526,-123.496,12.7
POWELL RIVER A,49.834,-124.5,11.4
POWELL RIVER,49.835,-124.497,11.2
SECHELT AUT,49.458,-123.715,11.7
SQUAMISH AIRPORT,49.783,-123.161,12.3
WHISTLER,50.129,-122.955,8.6
CAPE ST JAMES,51.936,-131.016,11.6
KINDAKUN ROCKS (AUT),53.316,-132.772,11.9
