Environment Canada,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Values for October - 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Station Name,,,,,,,,,,,,,,,,,,,,,,,
Lat,"Latitude (North + , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Long,"Longitude (West - , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Prov,Province,,,,,,,,,,,,,,,,,,,,,,,
Tm,Mean Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTm,Days without Valid Mean Temperature,,,,,,,,,,,,,,,,,,,,,,,
D,Mean Temperature difference from Normal (1981-2010) (°C),,,,,,,,,,,,,,,,,,,,,,,
Tx,Highest Monthly Maximum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTx,Days without Valid Maximum Temperature,,,,,,,,,,,,,,,,,,,,,,,
Tn,Lowest Monthly Minimum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTn,Days without Valid Minimum Temperature,,,,,,,,,,,,,,,,,,,,,,,
S,Snowfall (cm),,,,,,,,,,,,,,,,,,,,,,,
DwS,Days without Valid Snowfall,,,,,,,,,,,,,,,,,,,,,,,
S%N,Percent of Normal (1981-2010) Snowfall,,,,,,,,,,,,,,,,,,,,,,,
P,Total Precipitation (mm),,,,,,,,,,,,,,,,,,,,,,,
DwP,Days without Valid Precipitation,,,,,,,,,,,,,,,,,,,,,,,
P%N,Percent of Normal (1981-2010) Precipitation,,,,,,,,,,,,,,,,,,,,,,,
S_G,Snow on the ground at the end of the month (cm),,,,,,,,,,,,,,,,,,,,,,,
Pd,Number of days with Precipitation 1.0 mm or more,,,,,,,,,,,,,,,,,,,,,,,
BS,Bright Sunshine (hours),,,,,,,,,,,,,,,,,,,,,,,
DwBS,Days without Valid Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
BS%,Percent of Normal (1981-2010) Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
HDD,Degree Days below 18 °C,,,,,,,,,,,,,,,,,,,,,,,
CDD,Degree Days above 18 °C,,,,,,,,,,,,,,,,,,,,,,,
Stn_No,"Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically).",,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
CHEMAINUS,48.935,-123.742,BC,12.8,0,NA,20,0,6,0,0,0,NA,129.9,0,NA,0,13,,,NA,162.2,0,1011500
LAKE COWICHAN,48.829,-124.052,BC,11.9,15,2.1,25.5,10,1,9,0,10,NA,128.6,10,NA,,12,,,NA,97.7,0,1012055
DISCOVERY ISLAND,48.425,-123.226,BC,,,NA,17.4,0,,,,,NA,,,NA,,,,,NA,,,1012475
DUNCAN KELVIN CREEK,48.735,-123.728,BC,12,3,1.9,21,3,3,3,0,3,NA,118.4,3,NA,0,13,,,NA,167.3,0,1012573
